,Happiness,Log GDP per capita,Confidence in national government,Social support,Healthy life expectancy at birth,Generosity,GINI_index,Expenditure_on_education,homicide,economic_freedom_index,university_enrollment_rate,alcohol,unemployment_rate,total_food_consumption,suicide,total_visitors,log_child_mortality_rate,log_Expenditure_on_health,log_income,log_visitor_per_hectare
32,6.180507183,10.36437988,0.3364124,0.767177105,71.98058319,0.085420452,0.316455556,6.6,1.9,71.8,45.9,10.55,11.80000019,2661.0,4.7,2465000,1.16315080981,7.5832475243,10.2349472473,5.58677997855
33,6.334149361,10.25086594,0.169811338,0.91242677,69.0668869,-0.161259785,0.265377778,4.3,0.1,69.9,65.9,12.71,7.0,3292.0,12.5,10123000,1.33500106673,7.25205395185,9.83692030826,4.87641060825
34,7.519909382,10.66589642,0.534252763,0.951437175,70.04481506,0.128473848,0.279033333,8.5,0.7,76.2,79.3,9.26,7.5,3363.0,8.8,8443000,1.33500106673,8.7329495243,10.9872907256,5.29373973566
35,4.753311157,9.352508545,0.43158412,0.879158199,62.68741608,-0.065055996,0.494542857,2.0,22.3,60.2,46.7,5.93,14.69999981,2573.0,4.1,4563000,3.4873750779,5.53733426702,8.59711281459,4.54915517561
36,5.960716248,9.242061615,0.637234926,0.785201013,66.38104248,-0.088734113,0.513625,4.2,12.5,48.3,39.9,3.92,4.099999905,2477.0,9.2,1272000,3.16547504814,5.90808293817,8.52971447197,1.65280342422
37,4.204156876,9.217006683,0.601901174,0.736645103,60.76729584,-0.148237213,0.3075,4.3,2.8,57.9,27.6,0.23,12.69999981,3557.0,1.7,11196000,3.28840188752,5.08140436498,7.86172707782,2.42896878254
38,5.934371471,8.951271057,0.312310934,0.806014717,63.20287323,-0.164516062,0.468214286,3.4,42.7,68.7,28.6,2.48,6.099999905,2513.0,13.6,1255000,2.92316158072,5.57215403218,8.17046857833,4.1054410688
39,5.363927841,10.13803387,0.272975951,0.889454544,66.41425323,-0.200658888,0.336992308,4.7,4.8,73.2,72.1,15.04,10.10000038,3214.0,13.6,2744000,1.33500106673,6.98286275147,9.67250082376,4.17180313651
40,4.561168671,7.117977619,0.7,0.658794284,53.9631958,-0.028826296,0.3149,5.6,8.0,52.0,8.1,1.84,5.599999905,2124.0,11.5,597000,4.21508617992,3.25809653802,5.83188247728,-0.360969868222
41,7.420209408,10.58377647,0.597941577,0.927739382,70.67289734,-0.012763418,0.277455556,7.2,1.6,72.3,93.3,9.24,7.599999905,3285.0,14.8,4226000,0.99325177301,8.35585004101,10.7476161103,2.63951063329
